"880.34,-698.43,-682.00"
"77916,590.13,-2304.72,14347.96,823.34,-337.43,-743.00"
"77923,526.13,-1916.72,13167.96,908.34,143.57,-681.00"
"77930,-393.87,-1060.72,13707.96,866.34,14.57,-731.00"
"77937,-1069.87,-116.72,14383.96,834.34,268.57,-683.00"
"77944,-1701.87,1851.28,15543.96,777.34,184.57,-672.00"
"77951,-1901.87,3639.28,16511.96,751.34,-27.43,-529.00"
"77958,-2145.87,3731.28,16467.96,668.34,-159.43,-605.00"
"77965,-2449.87,3303.28,16283.96,461.34,-154.43,-409.00"
"77972,-2889.87,2211.28,16199.96,300.34,-221.43,-161.00"
"77979,-3197.87,1359.28,16499.96,295.34,615.57,-189.00"
"77986,-3465.87,519.28,17331.96,379.34,361.57,132.00"
"77993,-729.87,-440.72,13983.96,333.34,250.57,73.00"
"78000,-1253.87,1407.28,15319.96,325.34,748.57,218.00"
"78007,-1869.87,2103.28,15751.96,313.34,0.57,169.00"
"78014,-2077.87,3467.28,16523.96,317.34,415.57,319.00"
"78021,-2485.87,3827.28,16587.96,342.34,603.57,232.00"
"78028,-2785.87,3835.28,16691.96,326.34,182.57,298.00"
"78035,-2785.87,3767.28,16763.96,346.34,376.57,363.00"
"78042,-2745.87,3811.28,16595.96,310.34,395.57,257.00"
"78049,-2901.87,3403.28,16535.96,329.34,102.57,348.00"
"78056,-3097.87,2875.28,16451.96,327.34,509.57,190.00"
"78063,-2957.87,2639.28,16675.96,315.34,407.57,309.00"
"78070,-3185.87,2039.28,16643.96,317.34,288.57,180.00"
"78077,-3305.87,1611.28,16503.96,346.34,406.57,251.00"
"78084,-3533.87,1095.28,16587.96,336.34,95.57,135.00"
"78091,-3613.87,1195.28,16691.96,363.34,284.57,120.00"
"78098,-3557.87,979.28,16571.96,375.34,-579.43,188.00"
"78105,-3641.87,811.28,16879.96,514.34,1300.57,21.00"
"78112,-3589.87,663.28,16571.96,558.34,604.57,28.00"
"78119,1306.13,-2212.72,13751.96,624.34,185.57,-386.00"
"78126,1482.13,-2084.72,14655.96,690.34,-185.43,-426.00"
"78133,1710.13,-2000.72,15279.96,856.34,242.57,-599.00"
"78140,1390.13,-1744.72,16087.96,939.34,-485.43,-618.00"
"78147,1038.13,-1140.72,17155.96,979.34,-43.43,-526.00"
"78154,714.13,-244.72,17915.96,794.34,-884.43,-462.00"
"78161,530.13,359.28,18551.96,801.34,-930.43,-323.00"
"78168,86.13,975.28,18631.96,571.34,-728.43,129.00"
"78175,286.13,1567.28,18519.96,409.34,-579.43,188.00"
"78182,618.13,1447.28,17755.96,-45.66,-651.43,499.00"
"78189,1046.13,1679.28,16987.96,-230.66,-1243.43,625.00"
"78196,1530.13,2667.28,16567.96,-725.66,-1282.43,750.00"
"78203,2274.13,3131.28,16175.96,-885.66,29.57,716.00"
"78210,2946.13,3419.28,15411.96,-1176.66,40.57,669.00"
"78217,2878.13,3183.28,14839.96,-1193.66,943.57,687.00"
"78224,3338.13,3203.28,14567.96,-1448.66,1306.57,519.00"
"78231,3902.13,4003.28,16059.96,-1942.66,1661.57,-18.00"
"78238,3514.13,5979.28,18839.96,-2075.66,1469.57,-455.00"
"78245,-7817.87,-3288.72,14719.96,-1495.66,1225.57,-1104.00"
"78252,-7085.87,-4172.72,16643.96,-1034.66,-2.43,-1047.00"
"78259,-3829.87,-2368.72,18039.96,-773.66,-1316.43,-239.00"
"78266,238.13,-3948.72,15655.96,-820.66,-1755.43,234.00"
"78273,3730.13,-7780.72,16447.96,-488.66,-2207.43,104.00"
"78280,4210.13,-10192.72,17311.96,310.34,335.57,-282.00"
"78287,5746.13,-6748.72,16987.96,1114.34,968.57,-486.00"
"78294,2958.13,-1732.72,17887.96,1756.34,1034.57,-165.00"
"78301,-45.87,-1384.72,15659.96,1714.34,-29.43,34.00"
"78308,-2449.87,-3004.72,14727.96,1247.34,407.57,514.00"
"78315,-3945.87,675.28,16171.96,765.34,-244.43,661.00"
"78322,-4877.87,3683.28,17199.96,841.34,697.57,-63.00"
"78329,-3009.87,2819.28,15231.96,1040.34,-606.43,-475.00"
"78336,1310.13,-1260.72,13603.96,761.34,-445.43,35.00"
"78343,1730.13,-512.72,17647.96,-45.66,-435.43,416.00"
"78350,1746.13,1667.28,18663.96,-615.66,-816.43,736.00"
"78357,3722.13,3559.28,16187.96,-1316.66,-162.43,666.00"
"78364,3726.13,3587.28,14267.96,-1918.66,2100.57,362.00"
"78371,-5021.87,1743.28,14919.96,-2181.66,1422.57,-742.00"
"78378,-8049.87,-3696.72,14691.96,-1409.66,632.57,-1163.00"
"78385,-4233.87,-2028.72,18659.96,-884.66,-826.43,-241.00"
"78392,2238.13,-5592.72,15271.96,-996.66,-1387.43,187.00"
"78399,4042.13,-10604.72,17087.96,63.34,-573.43,-264.00"
"78406,5670.13,-6820.72,16811.96,1247.34,416.57,-413.00"
"78413,1770.13,-1112.72,18299.96,1873.34,763.57,-141.00"
"78420,-1145.87,-2844.72,14735.96,1691.34,742.57,187.00"
"78427,-3401.87,-1216.72,16051.96,1227.34,801.57,612.00"
"78434,-4557.87,2227.28,17035.96,716.34,569.57,454.00"
"78441,-4037.87,4047.28,16695.96,835.34,-134.43,-97.00"
"78448,-841.87,367.28,13707.96,1052.34,-442.43,-437.00"
"78455,1730.13,-1648.72,14747.96,785.34,-154.43,-176.00"
"78462,1318.13,-204.72,17679.96,-43.66,-977.43,393.00"
"78469,754.13,1403.28,19047.96,-445.66,-383.43,630.00"
"78476,1974.13,2939.28,17359.96,-942.66,153.57,701.00"
"78483,3210.13,3323.28,15719.96,-1206.66,442.57,612.00"
"78490,3274.13,3507.28,14499.96,-1541.66,1574.57,443.00"
"78497,-2481.87,4243.28,14739.96,-2121.66,1963.57,-154.00"
"78504,-5705.87,355.28,15379.96,-1920.66,1771.57,-774.00"
"78511,-8117.87,-3964.72,15003.96,-1000.66,157.57,-984.00"
"78518,-5329.87,-2596.72,18411.96,-809.66,-736.43,-485.00"
"78525,-769.87,-3128.72,16235.96,-839.66,-1541.43,270.00"
"78532,3082.13,-7232.72,15731.96,-595.66,-1417.43,198.00"
"78539,4018.13,-9380.72,17163.96,391.34,-109.43,-239.00"
"78546,5330.13,-7692.72,17075.96,1130.34,1155.57,-426.00"
"78553,4650.13,-4640.72,16471.96,1620.34,1591.57,-330.00"
"78560,1606.13,-368.72,18079.96,1758.34,218.57,-18.00"
"78567,-297.87,-2248.72,14623.96,1604.34,616.57,252.00"
"78574,-2833.87,-2956.72,15055.96,983.34,120.57,585.00"
"78581,-3985.87,631.28,16287.96,759.34,673.57,459.00"
"78588,-4805.87,3923.28,17187.96,997.34,200.57,-334.00"
"78595,-2129.87,1895.28,14175.96,1003.34,-288.43,-274.00"
"78602,1866.13,-1472.72,14799.96,54.34,-961.43,490.00"
"78609,1622.13,1311.28,19023.96,-699.66,-326.43,726.00"
"78616,4134.13,3907.28,16367.96,-1246.66,-170.43,741.00"
"78623,-2397.87,5851.28,15539.96,-2288.66,1925.57,-99.00"
"78630,-6885.87,-1020.72,13991.96,-1795.66,1414.57,-934.00"
"78637,-6757.87,-2972.72,17507.96,-809.66,45.57,-661.00"
"78644,-1073.87,-3088.72,16875.96,-918.66,-1961.43,102.00"
"78651,3474.13,-7340.72,16019.96,-661.66,-1025.43,138.00"
"78658,4342.13,-9496.72,17075.96,74.34,-340.43,-242.00"
"78665,5590.13,-7508.72,17323.96,1033.34,531.57,-488.00"
"78672,5082.13,-4528.72,16627.96,1493.34,940.57,-337.00"
